customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00028,Female,0,No,Yes,58,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Credit card (automatic),72.38,4277.42,No
CUST-00029,Female,0,No,No,14,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),60.75,899.73,No
CUST-00030,Female,0,No,Yes,71,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),56.25,4006.35,No
CUST-00031,Male,0,Yes,Yes,39,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,53.59,2135.33,No
CUST-00032,Male,0,Yes,No,31,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,69.64,2230.59,No
CUST-00033,Female,0,Yes,Yes,50,Yes,No,DSL,Yes,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),47.82,2414.61,No
CUST-00034,Female,0,No,No,16,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),58.53,972.28,Yes
CUST-00035,Female,0,Yes,Yes,72,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),45.95,3391.65,No
CUST-00036,Male,0,No,Yes,51,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,25.99,1424.87,No
CUST-00037,Female,1,Yes,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.22,296.49,No
CUST-00038,Male,0,No,Yes,38,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),73.03,2777.83,No
CUST-00039,Male,1,Yes,Yes,71,Yes,No,DSL,No,No,No,No,No,No,One year,No,Electronic check,40.36,2825.24,Yes
CUST-00040,Male,0,Yes,No,72,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,78.0,5641.4,Yes
CUST-00041,Male,0,No,Yes,21,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Electronic check,65.51,1314.14,No
CUST-00042,Male,0,Yes,Yes,16,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),35.25,424.33,Yes
CUST-00043,Female,0,No,No,67,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),60.43,4140.55,No
CUST-00044,Female,0,Yes,Yes,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,23.46,1516.47,No
CUST-00045,Female,0,Yes,No,13,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,Yes,Mailed check,51.88,688.56,No
CUST-00046,Female,0,No,Yes,64,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),52.91,3458.74,No
CUST-00047,Female,1,No,Yes,61,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),61.74,3755.15,No
CUST-00048,Male,0,Yes,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,26.72,835.15,Yes
CUST-00049,Female,0,No,No,12,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,No,Electronic check,54.05,625.73,No
CUST-00050,Female,0,No,Yes,41,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Mailed check,77.94,3221.93,No
CUST-00051,Male,0,No,No,66,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),78.43,5172.7,Yes
CUST-00052,Female,0,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),22.57,187.68,Yes
CUST-00053,Male,0,Yes,Yes,59,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Mailed check,68.62,4042.27,No
CUST-00054,Female,1,No,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,90.46,2392.04,Yes
CUST-00055,Male,0,No,Yes,5,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.39,138.85,Yes
CUST-00056,Female,0,No,No,45,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),59.76,2625.07,Yes
CUST-00057,Female,0,Yes,Yes,2,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,56.52,89.78,Yes
CUST-00058,Male,0,Yes,No,42,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),45.26,1909.24,Yes
CUST-00059,Male,0,No,No,38,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,No,Electronic check,76.59,2996.53,Yes
CUST-00060,Male,0,Yes,No,3,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),42.55,114.64,Yes
CUST-00061,Male,0,Yes,Yes,46,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,27.12,1268.16,No
CUST-00062,Male,0,Yes,No,22,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),76.52,1687.39,Yes
CUST-00063,Male,0,No,No,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,21.11,628.12,No
CUST-00064,Male,0,Yes,No,32,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),59.78,1920.04,No
CUST-00065,Male,0,No,No,17,Yes,Yes,DSL,No,No,No,No,No,Yes,Two year,No,Mailed check,57.94,890.62,No
CUST-00066,Female,0,No,No,56,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Mailed check,52.58,2934.14,No
CUST-00067,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),50.99,82.01,No
CUST-00068,Male,1,Yes,No,70,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Electronic check,49.41,3502.25,No
CUST-00069,Female,1,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,22.34,1117.77,No
CUST-00070,Female,0,No,No,55,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,61.62,3415.73,No
CUST-00071,Female,0,No,Yes,31,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,No,Mailed check,83.38,2671.07,No
CUST-00072,Female,0,No,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),24.09,519.25,No
CUST-00073,Male,0,No,No,16,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Electronic check,37.16,615.81,No
CUST-00074,Female,1,No,No,17,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,55.92,1011.39,Yes
CUST-00075,Male,0,No,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),18.0,39.2,No
CUST-00076,Female,1,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,30.81,2206.48,No
CUST-00077,Female,1,Yes,No,65,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,61.47,3991.59,Yes
CUST-00078,Female,0,No,No,66,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,25.69,1715.56,No
CUST-00079,Male,0,Yes,No,37,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,56.46,2076.37,Yes
CUST-00080,Female,0,No,No,24,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,54.86,1294.45,No
CUST-00081,Male,1,Yes,No,62,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),61.87,3879.9,Yes
CUST-00082,Female,0,No,Yes,21,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),82.59,1749.66,Yes
CUST-00083,Male,1,Yes,Yes,37,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),68.81,2587.22,No
CUST-00084,Female,0,Yes,Yes,35,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,72.91,2658.65,Yes
CUST-00085,Male,0,No,Yes,38,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,23.65,850.11,No
CUST-00086,Male,1,Yes,No,53,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),81.13,4260.32,Yes
CUST-00087,Female,0,Yes,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,27.0,301.57,Yes
CUST-00088,Male,0,Yes,No,42,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,68.07,2800.12,Yes
CUST-00089,Female,0,No,No,4,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,No,Electronic check,57.42,170.09,Yes
CUST-00090,Female,0,No,No,39,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,60.9,2338.87,No
CUST-00091,Female,0,No,No,23,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),77.91,1725.35,Yes
CUST-00092,Female,0,Yes,No,15,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),81.39,1198.94,No
CUST-00093,Female,1,No,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.84,323.69,No
CUST-00094,Female,1,Yes,No,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,22.24,1612.08,No
CUST-00095,Female,0,No,Yes,54,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Mailed check,63.43,3490.13,No
CUST-00096,Female,0,No,No,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),31.18,1243.48,Yes
CUST-00097,Female,0,No,No,28,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),67.67,1927.48,Yes
CUST-00098,Female,0,No,No,19,Yes,No,DSL,No,Yes,No,No,No,No,One year,Yes,Electronic check,46.54,859.77,No
CUST-00099,Female,1,No,Yes,69,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,74.74,5237.71,Yes
CUST-00100,Male,0,No,No,64,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),64.33,4131.31,No
CUST-00101,Male,0,Yes,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Mailed check,75.84,216.64,No
CUST-00102,Female,0,No,Yes,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,33.63,271.34,No
CUST-00103,Female,0,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,22.38,219.97,No
CUST-00104,Female,0,Yes,No,69,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Electronic check,63.43,4363.56,No
CUST-00105,Female,0,Yes,Yes,7,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,22.38,18.0,Yes
CUST-00106,Female,0,Yes,No,44,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),70.32,3128.37,Yes
CUST-00107,Female,0,Yes,No,23,No,No phone service,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,72.62,1637.3,No
CUST-00108,Female,0,No,No,2,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,24.28,64.79,Yes
CUST-00109,Female,0,Yes,Yes,37,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Electronic check,65.94,2420.86,No
CUST-00110,Male,0,Yes,No,69,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,No,Mailed check,66.41,4592.58,No
CUST-00111,Female,0,No,No,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,24.77,430.36,No
CUST-00112,Male,0,Yes,Yes,44,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),67.41,2987.87,No
CUST-00113,Female,0,No,Yes,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,27.94,1923.11,No
CUST-00114,Female,0,No,Yes,51,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,79.16,4013.91,Yes
CUST-00115,Male,0,No,No,31,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,70.55,2285.27,Yes
CUST-00116,Female,1,No,No,41,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Mailed check,62.87,2550.16,No
CUST-00117,Male,1,Yes,Yes,58,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Electronic check,46.19,2737.26,No
CUST-00118,Female,0,Yes,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,32.76,112.33,No
CUST-00119,Female,1,Yes,No,33,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),72.85,2352.54,Yes
CUST-00120,Male,0,No,No,43,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),63.34,2626.53,No
CUST-00121,Female,0,Yes,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),26.07,414.19,No
CUST-00122,Male,0,Yes,Yes,32,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Electronic check,65.68,2137.17,Yes
CUST-00123,Female,0,Yes,Yes,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,24.21,49.22,Yes
CUST-00124,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,27.72,45.93,No
CUST-00125,Male,0,Yes,Yes,41,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Credit card (automatic),44.94,1871.18,No
CUST-00126,Female,0,No,No,48,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,62.95,3076.28,No
CUST-00127,Female,0,Yes,No,39,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Credit card (automatic),69.84,2639.65,No
CUST-00128,Male,0,Yes,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,19.12,101.71,Yes
CUST-00129,Female,1,Yes,No,11,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),79.59,809.29,Yes
CUST-00130,Female,0,No,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),31.59,685.4,No
CUST-00131,Female,0,No,No,64,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),67.78,4326.1,Yes
CUST-00132,Male,0,Yes,No,12,Yes,No,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),69.15,816.74,No
CUST-00133,Male,0,Yes,No,53,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,48.39,2685.61,Yes
CUST-00134,Male,0,No,No,55,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),80.28,4427.64,No
CUST-00135,Male,0,Yes,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,31.56,1684.07,No
CUST-00136,Male,0,Yes,Yes,21,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),64.25,1351.78,Yes
CUST-00137,Male,0,Yes,Yes,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,28.76,589.36,Yes
CUST-00138,Male,0,Yes,No,69,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),64.28,4427.51,No
CUST-00139,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,58.38,4278.51,No
CUST-00140,Male,0,Yes,No,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,25.77,1707.49,No
CUST-00141,Female,0,Yes,No,59,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Mailed check,76.33,4544.29,No
CUST-00142,Male,0,No,Yes,49,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,67.15,3193.97,No
CUST-00143,Female,0,Yes,No,59,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,57.53,3310.92,No
CUST-00144,Female,1,No,No,23,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),48.92,1053.73,Yes
CUST-00145,Female,1,Yes,No,3,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Mailed check,76.32,236.63,Yes
CUST-00146,Male,1,No,No,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,30.03,1640.84,No
CUST-00147,Male,0,Yes,No,58,No,No phone service,DSL,No,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),61.84,3516.52,No
CUST-00148,Male,0,No,No,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,25.93,1603.27,No
CUST-00149,Male,0,Yes,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,80.27,1440.4,Yes
CUST-00150,Female,0,No,No,61,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,One year,No,Electronic check,78.63,4792.67,No
CUST-00151,Male,0,Yes,No,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,22.39,835.0,No
CUST-00152,Male,0,Yes,Yes,54,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Two year,Yes,Credit card (automatic),55.57,2995.87,No
CUST-00153,Male,1,No,No,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,21.75,1493.69,No
CUST-00154,Male,0,No,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,19.91,333.97,No
CUST-00155,Male,1,Yes,No,5,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,51.59,309.82,Yes
CUST-00156,Female,0,No,No,62,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,88.21,5427.67,Yes
CUST-00157,Male,0,Yes,No,1,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,56.36,106.26,Yes
CUST-00158,Female,0,Yes,No,63,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,86.96,5357.47,No
CUST-00159,Male,0,No,No,67,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Mailed check,65.52,4411.47,No
CUST-00160,Female,0,Yes,No,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,30.49,647.43,No
CUST-00161,Male,0,No,Yes,43,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Mailed check,74.16,3284.51,No
CUST-00162,Male,0,Yes,No,42,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,76.13,3179.86,Yes
CUST-00163,Female,0,No,Yes,69,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),66.06,4519.43,Yes
CUST-00164,Female,1,No,Yes,39,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Mailed check,64.99,2431.25,No
CUST-00165,Female,0,No,No,62,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),69.42,4245.64,No
CUST-00166,Male,1,No,No,48,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),54.04,2569.02,No
CUST-00167,Female,0,Yes,Yes,6,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,58.04,350.5,Yes
CUST-00168,Male,0,No,No,42,Yes,No,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Electronic check,44.39,1803.57,No
CUST-00169,Male,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),61.18,3542.28,No
CUST-00170,Female,0,No,Yes,43,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Electronic check,62.98,2699.03,No
CUST-00171,Female,0,No,No,10,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),57.6,564.23,Yes
CUST-00172,Male,0,No,No,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),29.13,1143.76,No
CUST-00173,Male,0,No,No,13,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,41.63,585.01,Yes
CUST-00174,Female,0,Yes,No,39,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,63.86,2512.66,Yes
